alsa		alsa-lib
ConsoleKit	systemd
dvdread		libdvdread
freetype2	freetype
gbm		MesaLib
geoip		GeoIP
gl		MesaLib
gudev		systemd
gtk+-2		gtk2+
js185		mozjs
json		json-c
libacl		acl
libdb		berkeley-db
libicu		icu
libjpeg		libjpeg-turbo
libnl-genl	libnl
libnl-route	libnl
librest		rest
libsigc++2	libsigc++
libsystemd-journal	systemd
libtool-ltdl	libtool
libudev		systemd
libusb1		libusbx
libuuid		util-linux
js24		mozjs24
js17		mozjs17
pam		linux-pam
py3cairo	pycairo
pyatspi2	pyatspi
python-devel	Python
python2-devel	Python2
sm		libSM
smbclient	samba
speex		opus
sqlite3		sqlite
wireless-tools	wireless_tools
